parameter,label,age_group,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,n
b1,Inverse temp.,10-15 years old,0.6501814882032668,4.4125057763335856e-08,0.43328122533497415,0.8039822444138736,57
b1,Inverse temp.,15-20 years old,0.7710144927536231,5.779685159408193e-10,0.5866289113436505,0.8742965386676415,45
b1,Inverse temp.,20-25 years old,0.8805561408360668,1.768989920071499e-19,0.786478306258645,0.9294094904606502,57
a1,LR chosen +PE,10-15 years old,0.41411718952553805,0.0013631516090909853,0.14624455040767173,0.6351738501204693,57
a1,LR chosen +PE,15-20 years old,0.6914361001317523,1.4499642426975012e-07,0.4782034666101942,0.8394197452092149,45
a1,LR chosen +PE,20-25 years old,0.7324139943597451,9.480532831601362e-11,0.5655020708082071,0.8412138805320922,57
a2,LR chosen −PE,10-15 years old,0.6398755509463314,8.376180577537724e-08,0.3981087447404626,0.8123748008778545,57
a2,LR chosen −PE,15-20 years old,0.6227477851792349,4.922864862178822e-06,0.3514611686207496,0.8148003936448921,45
a2,LR chosen −PE,20-25 years old,0.5005590576081358,7.330930116347668e-05,0.24618880248572728,0.6998235501482927,57
a3,LR unch. +PE,10-15 years old,0.7399533316048743,4.821523329118036e-11,0.5656625296927297,0.857852937349577,57
a3,LR unch. +PE,15-20 years old,0.6314645247249883,3.300014942890608e-06,0.3834685058365537,0.8037756382158504,45
a3,LR unch. +PE,20-25 years old,0.6317085817993259,1.368945050192911e-07,0.42007477780574143,0.778593607956713,57
a4,LR unch. −PE,10-15 years old,0.8314752398236972,1.1664785932426964e-15,0.7262987304670864,0.8948813921893527,57
a4,LR unch. −PE,15-20 years old,0.8042160737812911,2.8549034527049965e-11,0.6127962010793355,0.9110444572512654,45
a4,LR unch. −PE,20-25 years old,0.7902122836754256,2.700196266584736e-13,0.6308455672138731,0.8850486910320869,57
q0,Initial $q_0$,10-15 years old,0.7525724750222417,1.473974729302243e-11,0.5696446160842106,0.8679280633594212,57
q0,Initial $q_0$,15-20 years old,0.7587615283267455,1.5497872290335507e-09,0.5201980451624745,0.9071086205229866,45
q0,Initial $q_0$,20-25 years old,0.6837568058076227,4.5693306301676415e-09,0.5021570835029078,0.8169800962123835,57
