parameter,label,age_group,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,n_x,icc,icc_ci_lo,icc_ci_hi,n_y
b1,Reward sens.,10-15 years old,0.6927128427128428,4.638704412866236e-09,0.49856686537819817,0.8282268327652936,55,0.6448732513500006,0.5062183050078484,0.7626519893818295,55
b1,Reward sens.,15-20 years old,0.8517576318223867,3.211400586400794e-14,0.7067144828262504,0.9295507811582034,47,0.7573104015047883,0.6201794012624762,0.866010414130807,47
b1,Reward sens.,20-25 years old,0.832760180995475,3.5345018970375966e-14,0.6887521428760124,0.9176620731175155,51,0.7596186535900687,0.6138110455698212,0.8632818823234426,51
b2,Punish. sens.,10-15 years old,0.6831890331890333,9.085098808988712e-09,0.47758084796552663,0.8189242725133323,55,0.6947500542658652,0.5373595840608197,0.7977603062212146,55
b2,Punish. sens.,15-20 years old,0.5943336224342296,1.0596222207069862e-05,0.32475990661507326,0.7765177535981126,47,0.5112325393163012,0.3633955016077628,0.6547065202837352,47
b2,Punish. sens.,20-25 years old,0.772098916462688,3.266620779397234e-11,0.5985674777369476,0.8838265927502537,51,0.6784262268894942,0.5438052793842654,0.7955818804540356,51
b3,Approach bias,10-15 years old,0.7384559884559887,1.2369264369994886e-10,0.5731915924103439,0.8444345945531875,55,0.671414881660044,0.5397928279090839,0.7765182792107566,55
b3,Approach bias,15-20 years old,0.596322849213691,9.727443509821518e-06,0.3230386923285225,0.7871534089986947,47,0.6933272573502047,0.5224669720105446,0.8214640932829463,47
b3,Approach bias,20-25 years old,0.6412362272280813,3.986984065574695e-07,0.4248161190269833,0.7885216975294799,51,0.5686393996711883,0.3851286496656466,0.7211137965093317,51
b4,Avoid. bias,10-15 years old,0.5756854256854258,4.261078306106452e-06,0.30417785782092405,0.781162566286418,55,0.6452703365025019,0.41399584638525516,0.8572632445677562,55
b4,Avoid. bias,15-20 years old,0.6008325624421832,7.99551468916985e-06,0.34455663500580874,0.7772172751878322,47,0.6267094408063394,0.3953671728405051,0.8068961593220191,47
b4,Avoid. bias,20-25 years old,0.49475113122171943,0.00022377572428280664,0.23524583857922438,0.696435468998673,51,0.4722125340934946,0.3061877714522234,0.6733367396094782,51
a1,LR positive,10-15 years old,0.9478165192111742,5.59485997284887e-28,0.8950075728398708,0.9732744500362356,55,0.9131018018480327,0.8185760584504781,0.9596366688745908,55
a1,LR positive,15-20 years old,0.8574236817761333,1.4223920321637744e-14,0.6950451555454801,0.9438450931918534,47,0.9269324249399389,0.8419847378340052,0.9620471836646941,47
a1,LR positive,20-25 years old,0.9382805429864253,3.077462420639546e-24,0.8615466879231356,0.9738859036666199,51,0.8862111363292107,0.8042084818824536,0.9389723353837253,51
a2,LR negative,10-15 years old,0.940764790764791,1.4719827720680248e-26,0.8784446268338156,0.9693623714822339,55,0.8718606940502248,0.6681533189891118,0.9359186763394285,55
a2,LR negative,15-20 years old,0.9054378310279485,2.331194790436466e-18,0.8099067939827427,0.954812094956444,47,0.8941371799239153,0.7896013443707487,0.9469007758249214,47
a2,LR negative,20-25 years old,0.866606334841629,2.092321110155754e-16,0.7394023583760438,0.9347299904536448,51,0.8918761983006669,0.7826036124376159,0.9387970083606855,51
